object_id,display_name,object_class,location_ids,primary_events,reset_policy,art_asset_id,build_scope,content_text_scope,canonical_source
OBJ_GREENHOUSE_PLANTER,온실 화분,AMBIENT,M1_GREENHOUSE,IRIS_S2;E3_2;F0_C,per_object_state,ART_OBJ_GREENHOUSE_PLANTER,demo_full,계절모순;관리기록;수리후;관계반응,15§18.2
OBJ_LIBRARY_OUTER_SHELVES,외부 서고 책장,INFO_RECORD,M1_LIBRARY_OUTER,P3;B1;B3_A,per_loop,ART_OBJ_LIBRARY_OUTER_SHELVES,demo_full,분류규칙;정리;빈칸;반복축약,15§18.3
OBJ_LIBRARY_INNER_SHELVES,기록 내실 책장,INFO_RECORD,M1_LIBRARY_INNER,B2;J1-J4,per_phase,ART_OBJ_LIBRARY_INNER_SHELVES,demo_full,기록탐색;압박반응;단계별공개,15§18.3
OBJ_LIBRARY_JOURNAL,아버지의 일지,INFO_RECORD,M1_LIBRARY_INNER,J1;J2;J3;J4,persistent,ART_OBJ_LIBRARY_JOURNAL,demo_full,복원문;확인창;단계별본문;읽기기록,15§18.3
OBJ_LIBRARY_JOURNAL_DESK,일지 책상,INFO_RECORD,M1_LIBRARY_INNER,B2;J1-J4,per_phase,ART_OBJ_LIBRARY_JOURNAL_DESK,demo_full,조사;탁본;압박;숨기;복원후,15§18.3
OBJ_LIBRARY_INDEX_DRAWERS,색인 서랍,INFO_RECORD,M1_LIBRARY_INNER,B2;D0,per_loop,ART_OBJ_LIBRARY_INDEX_DRAWERS,demo_full,색인카드;빈서랍;반복단서;경계반응,15§18.3
OBJ_LIBRARY_OUTER_CLOCK,외부 서고 중계 시계,MAIN_PUZZLE,M1_LIBRARY_OUTER,B3_A;B3_B;BF;BSHORT,event_owned,ART_OBJ_LIBRARY_OUTER_CLOCK,demo_full,조사;뒤판열기;탁본;실패잠금;숏컷,08§35;15§18.3
OBJ_LIBRARY_RECORD_CLOCK,기록 내실 경계 시계,AMBIENT,M1_LIBRARY_INNER,B2_EDGAR_ENTRY,per_entry,ART_OBJ_LIBRARY_RECORD_CLOCK,demo_full,진입예고;경계도별변형;반복,15§18.3
OBJ_LIBRARY_SERVICE_ALCOVE,서재 점검 벽감,NAVIGATION_LOCK,M1_LIBRARY_INNER,B2_HIDE,known_persistent,ART_OBJ_LIBRARY_SERVICE_ALCOVE,demo_full,숨기선택;대기감각;발각아님;퇴장후,15§18.3
OBJ_LIBRARY_PORTRAIT_LATCH,서재 초상화 걸쇠,NAVIGATION_LOCK,M1_LIBRARY_INNER,J1;LOCK_LIBRARY_INNER,unlocked_persistent,ART_OBJ_LIBRARY_PORTRAIT_LATCH,demo_full,발견;잠금;해금;숏컷안내,15§18.3
OBJ_LIBRARY_MAP_FLOOR,서재 지도 이중 바닥,INFO_RECORD,M1_LIBRARY_INNER,J3;D0;D0_A,persistent,ART_OBJ_LIBRARY_MAP_FLOOR,demo_full,지도조각;투명지;중첩결과;반복확인,15§18.3
OBJ_MIRROR_BLACK,검은 거울,MAIN_PUZZLE,M1_MIRROR_GALLERY,C0-C5;F0_C,event_owned,ART_OBJ_MIRROR_BLACK,demo_full,금지;청소;실패;회로노출;진단;메타회수,15§18.3
OBJ_BASEMENT_AXIS_DEVICE,지하 세 축 장치,MAIN_PUZZLE,B1_AXIS_CHAMBER,D1;DF;DSHORT,event_owned,ART_OBJ_BASEMENT_AXIS_DEVICE,demo_full,축설명;압력경고;실패;검증축;숏컷,15§18.3
OBJ_ARCHIVE_NAMEPLATES,기록 회랑 이름표,INFO_RECORD,M1_NORTH_ARCHIVE_HALL,P3B;MARA2_S1;MARA2_FU,knowledge_persistent,ART_OBJ_ARCHIVE_NAMEPLATES,demo_full,이름대응;수정;리셋기억;후속부탁,15§18.4
OBJ_ARCHIVE_PORTRAIT_01,겹친 단체 초상화,INFO_RECORD,M1_PORTRAIT_STORAGE,MARA2_S1;MARA2_S2;E3_5,per_phase,ART_OBJ_ARCHIVE_PORTRAIT_01,demo_full,인물명;겹침;원본사본;반복,15§18.4
OBJ_COLOR_SEPARATOR_PANEL,색분해실 외부 패널,NAVIGATION_LOCK,M1_COLOR_ROOM_ENTRY,C5;MARA2_S2;E3_5,persistent_unlock,ART_OBJ_COLOR_SEPARATOR_PANEL,full_only,잠금사유;채널설명;접근권한;해금,15§18.4
OBJ_PERSONALITY_ARCHIVE_TERMINAL,인격 아카이브 단말,MAIN_PUZZLE_INFO_RECORD,H0_PERSONALITY_ARCHIVE,E3_5;F0_D,event_owned,ART_OBJ_PERSONALITY_ARCHIVE_TERMINAL,full_only,체크섬;원본사본;보존결과;메타회수,15§18.4
OBJ_CORE_WAKE_DEVICE,냉각 기상 장치,MAIN_PUZZLE,H0_CORE_CHAMBER,F3;EDC,event_owned,ART_OBJ_CORE_WAKE_DEVICE,full_only,기능설명;상태진단;의향확인;엔딩선택,15§18.4
OBJ_CORE_LOOP_STABILIZER,루프 안정화 장치,MAIN_PUZZLE,H0_CORE_CHAMBER,F3;EDC,event_owned,ART_OBJ_CORE_LOOP_STABILIZER,full_only,기능설명;비용;상태진단;엔딩선택,15§18.4
OBJ_CORE_NOTEBOOK_TERMINAL,SUBJECT 수첩대,INFO_RECORD,H0_CORE_CHAMBER,F3;EDC_CANCEL,event_owned,ART_OBJ_CORE_NOTEBOOK_TERMINAL,full_only,현재권한;결정유보;재조사;선택전확인,15§18.4
OBJ_REALITY_HAND,현실의 손,ENDING_REQUIRED,R0_CRYO_CHAMBER,EDR_BODY_CHECK,ending_run,ART_OBJ_REALITY_HAND,full_only,감각확인;신체연속성;반복짧은문구,15§18.5
OBJ_REALITY_BREATH_MONITOR,현실 호흡 표시기,ENDING_REQUIRED,R0_CRYO_CHAMBER,EDR_BODY_CHECK,ending_run,ART_OBJ_REALITY_BREATH_MONITOR,full_only,호흡확인;자동성공;무음대체;반복,15§18.5
OBJ_REALITY_RESTRAINT,현실 고정 벨트,ENDING_REQUIRED,R0_CRYO_CHAMBER,EDR_BODY_CHECK,ending_run,ART_OBJ_REALITY_RESTRAINT,full_only,해제;압박감각;안전상태;반복,15§18.5
OBJ_REALITY_FIELD_NOTEBOOK,현실 공동 인계 수첩,INFO_RECORD,R0_CRYO_CHAMBER,EDR_FIELD_NOTEBOOK,ending_run,ART_OBJ_REALITY_FIELD_NOTEBOOK,full_only,표지;72시간생존;아버지연구원주석;선택후속,15§18.5
OBJ_REALITY_EXIT_PANEL,현실 시설 출구 패널,NAVIGATION_LOCK,R0_FACILITY_EXIT,EDR_EXIT_PANEL;EDR_AIRLOCK_CONFIRM,ending_run,ART_OBJ_REALITY_EXIT_PANEL,full_only,전력;외기;수동개폐;최종확인,15§18.5
OBJ_REALITY_CAPSULE_GLASS,현실 캡슐 유리,ENDING_OPTIONAL,R0_CRYO_CHAMBER,EDR_FACILITY_FREE_LOOK,ending_run,ART_OBJ_REALITY_CAPSULE_GLASS,full_only,서리;안쪽흔적;짧은후속,15§18.5
OBJ_REALITY_EMPTY_STAND,빈 연구원 거치대,ENDING_OPTIONAL,R0_CRYO_CHAMBER,EDR_FACILITY_FREE_LOOK,ending_run,ART_OBJ_REALITY_EMPTY_STAND,full_only,부재;연구원흔적;관계결산변형,15§18.5
OBJ_REALITY_TOOLBOX,현실 공구함,ENDING_OPTIONAL,R0_FACILITY_EXIT,EDR_FACILITY_FREE_LOOK,ending_run,ART_OBJ_REALITY_TOOLBOX,full_only,생존도구;사용법;마라1후속,15§18.5
OBJ_REALITY_DRY_PLANTER,마른 재배함,ENDING_OPTIONAL,R0_FACILITY_EXIT,EDR_FACILITY_FREE_LOOK,ending_run,ART_OBJ_REALITY_DRY_PLANTER,full_only,씨앗;물부족;이리스후속,15§18.5
OBJ_REALITY_NAME_WALL,현실 이름 벽,ENDING_OPTIONAL,R0_FACILITY_EXIT,EDR_FACILITY_FREE_LOOK,ending_run,ART_OBJ_REALITY_NAME_WALL,full_only,연구원이름;삭제흔적;마라2후속,15§18.5
OBJ_REALITY_DISTANT_SIGNAL,먼 신호,ENDING_OPTIONAL,R0_SURFACE_THRESHOLD,EDR_DISTANT_SIGNAL;EDR_FINAL_FRAME,ending_run,ART_OBJ_REALITY_DISTANT_SIGNAL,full_only,불확실한신호;열린결말;재조사,15§18.5
OBJ_STAY_MEMORY_CHARTER,기억 헌장,ENDING_REQUIRED,H0_CORE_CHAMBER,EDS_CHARTER,ending_run,ART_OBJ_STAY_MEMORY_CHARTER,full_only,기억원칙;확인;관계결산변형,15§18.5
OBJ_STAY_APPEARANCE_CONTROL,외형 표시 제어,ENDING_REQUIRED,H0_CORE_CHAMBER,EDS_CHARTER,ending_run,ART_OBJ_STAY_APPEARANCE_CONTROL,full_only,외형선택;표시방식;확인,15§18.5
OBJ_STAY_AUTONOMY_CHARTER,자율성 헌장,ENDING_REQUIRED,H0_CORE_CHAMBER,EDS_CHARTER,ending_run,ART_OBJ_STAY_AUTONOMY_CHARTER,full_only,자율원칙;상호동의;확인,15§18.5
OBJ_STAY_CLOCK,잔류 중앙홀 시계,ENDING_OPTIONAL,M1_CENTRAL_HALL,EDS_CENTRAL_HALL,ending_run,ART_OBJ_STAY_CLOCK,full_only,시간의미;루프후속;반복,15§18.5
OBJ_STAY_SCHEDULE,잔류 일정표,ENDING_OPTIONAL,M1_CENTRAL_HALL,EDS_CENTRAL_HALL,ending_run,ART_OBJ_STAY_SCHEDULE,full_only,강제일과변화;자율성후속,15§18.5
OBJ_STAY_FRONT_DOOR,잔류 정문,ENDING_OPTIONAL,M1_CENTRAL_HALL,EDS_CENTRAL_HALL,ending_run,ART_OBJ_STAY_FRONT_DOOR,full_only,출구의미;잠금아님;열린후속,15§18.5
OBJ_STAY_CARPET,잔류 중앙홀 카펫,ENDING_OPTIONAL,M1_CENTRAL_HALL,EDS_CENTRAL_HALL,ending_run,ART_OBJ_STAY_CARPET,full_only,반복흔적;촉감;짧은후속,15§18.5
OBJ_STAY_CALL_CORD,잔류 호출끈,ENDING_OPTIONAL,M1_CENTRAL_HALL,EDS_CENTRAL_HALL,ending_run,ART_OBJ_STAY_CALL_CORD,full_only,호출아닌초대;사용인별응답,15§18.5
OBJ_STAY_NOTEBOOK,잔류 수첩,ENDING_REQUIRED,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_NOTEBOOK,full_only,새첫문장;기억헌장;후속기록,15§18.5
OBJ_STAY_STAIN,잔류 식탁 얼룩,ENDING_OPTIONAL,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_STAIN,full_only,마라1후속;수정하지않은흔적,15§18.5
OBJ_STAY_TEA,잔류 차,ENDING_OPTIONAL,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_TEA,full_only,루카후속;온도;마실지선택,15§18.5
OBJ_STAY_SEASON_WINDOW,잔류 계절창,ENDING_OPTIONAL,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_SEASON_WINDOW,full_only,이리스후속;계절선택;모순수용,15§18.5
OBJ_STAY_PORTRAIT_LABEL,잔류 초상화 이름표,ENDING_OPTIONAL,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_PORTRAIT_LABEL,full_only,마라2후속;이름보존;직접수정,15§18.5
OBJ_STAY_RAPIER,잔류 레이피어,ENDING_OPTIONAL,M1_DINING_ROOM,EDS_TABLE_OBJECTS,ending_run,ART_OBJ_STAY_RAPIER,full_only,에드가후속;통제완화;놓인방향,15§18.5
SERVANT_OBJ_EDGAR_LOCK_PORT,에드가 잠금 인터페이스,SERVANT_ATTACHED,CHARACTER_EDGAR,E3_4;E3_4M;F2,persistent_after_consent,ART_SERVANT_OBJ_EDGAR_LOCK_PORT,full_only,동의요청;진단;수리;관계별반응,15§11
SERVANT_OBJ_MARA1_MAINTENANCE_PORT,마라1 정비 포트,SERVANT_ATTACHED,CHARACTER_MARA1,E3_1;F2,persistent_after_consent,ART_SERVANT_OBJ_MARA1_MAINTENANCE_PORT,full_only,동의요청;배선수리;통증아님;관계별반응,15§11
SERVANT_OBJ_LUCA_BIO_PORT,루카 생체 포트,SERVANT_ATTACHED,CHARACTER_LUCA,E3_3;F2,persistent_after_consent,ART_SERVANT_OBJ_LUCA_BIO_PORT,full_only,동의요청;생체안정화;관계별반응,15§11
SERVANT_OBJ_IRIS_SENSOR_MEMBRANE,이리스 센서막,SERVANT_ATTACHED,CHARACTER_IRIS,E3_2;F2,persistent_after_consent,ART_SERVANT_OBJ_IRIS_SENSOR_MEMBRANE,full_only,동의요청;센서교정;고백변형;관계별반응,15§11
SERVANT_OBJ_MARA2_ARCHIVE_PORT,마라2 기록 포트,SERVANT_ATTACHED,CHARACTER_MARA2,E3_5;F2,persistent_after_consent,ART_SERVANT_OBJ_MARA2_ARCHIVE_PORT,full_only,동의요청;체크섬;이름확인;관계별반응,15§11
